Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Hora_Mas_Frecuente,Dia_Semana_Mas_Frecuente,Mes_Mas_Frecuente,Num_PAGO_TARJETA_CREDITO,Num_REMESAS,Num_TRANSFER_BANCOS,Num_TRANSFER_EXTERNAS,Num_TRANSFER_INTERNACIONAL,Num_TRANSFER_INTERNAS
1601981,2340.37,135.0,354.50144736842105,556.8816382049936,76,27322,6,12,0,0,73,0,0,3
1601982,1150.0,69.0,134.6653947368421,199.79001963355287,76,31872,5,8,0,0,2,36,0,38
1601983,600.0,150.0,198.64864864864865,148.91108760603424,37,14648,3,1,0,0,32,0,0,5
1601984,466.0,230.0,222.0,117.97598625709104,13,30979,3,6,10,0,3,0,0,0
1601985,359.85,75.0,122.006,114.80450641561652,10,27787,3,2,6,0,3,0,0,1
1601986,995.0,797.5,797.5,279.30717856868625,2,47771,2,7,0,0,2,0,0,0
1601987,6000.0,6000.0,6000.0,,1,23455,4,7,0,0,1,0,0,0
1601988,3500.0,200.0,522.0,984.0810203156316,12,36787,4,12,3,0,0,0,0,9
1601989,300.0,66.23,101.46999999999998,105.74346977473361,6,28925,5,12,4,0,1,0,0,1
1601990,403.0,200.0,216.0241935483871,103.66557518527847,31,26765,4,3,29,0,2,0,0,0
1601991,45.0,45.0,45.0,,1,48084,5,10,1,0,0,0,0,0
1601992,500.0,155.0,208.75,149.80344264592662,8,24588,5,8,0,0,8,0,0,0
1601993,1300.0,1300.0,1300.0,,1,43817,6,8,0,0,1,0,0,0
1601994,2500.0,1000.0,1233.3333333333333,840.6346808612327,6,31820,6,6,0,0,6,0,0,0
1601995,1028.04,350.0,484.92727272727274,315.9989780075533,11,32928,2,9,0,0,5,0,0,6
1601996,1000.0,750.0,750.0,288.67513459481285,4,32326,2,5,0,0,4,0,0,0
1601997,200.0,200.0,200.0,,1,77814,2,12,0,0,1,0,0,0
1601998,2100.0,800.0,857.0714285714286,581.087545426449,28,26977,6,5,0,0,28,0,0,0
1601999,70.0,70.0,70.0,,1,49621,5,1,0,0,0,1,0,0
1602000,8000.0,500.0,785.132,1475.409789000541,30,35008,2,12,0,0,18,6,0,6
1602001,5000.0,125.0,331.98895652173917,537.0865463506151,115,29964,4,7,0,0,59,40,0,16
1602002,900.0,350.0,420.4166666666667,265.1968251329681,12,27789,4,5,0,0,0,12,0,0
1602003,1000.0,110.0,171.3314563106796,155.24726386656369,103,29083,2,7,0,0,101,0,0,2
1602004,2000.0,83.685,221.22357142857143,513.9574685726907,14,36060,7,1,12,0,2,0,0,0
1602005,250.0,95.0,108.54838709677419,54.801361728627036,31,34045,2,2,22,0,0,0,0,9
1602006,10000.0,3000.0,3139.3939393939395,1901.1841482352952,66,28276,2,1,0,0,66,0,0,0
1602007,900.0,450.0,454.1666666666667,294.2858587609446,6,53510,4,6,0,0,6,0,0,0
1602008,2500.0,1390.0,1390.0,1569.7770542341354,2,31940,2,2,0,0,2,0,0,0
1602009,10000.0,10000.0,9676.470588235294,1264.687824768487,51,27904,5,5,0,0,51,0,0,0
1602010,4000.0,98.95,336.47725,663.6456013720341,40,38579,3,8,0,0,36,0,0,4
1602011,2000.0,200.0,364.65190476190475,407.23375084286874,42,6012,4,8,0,0,42,0,0,0
1602012,520.0,300.0,296.3076923076923,175.27045035952514,13,36169,3,11,0,0,13,0,0,0
1602013,461.0,200.0,231.0,147.57371039585607,5,31517,4,3,0,0,4,0,0,1
1602014,2700.0,247.87,613.9157142857142,741.6329768933649,21,26776,4,10,11,0,10,0,0,0
1602015,850.0,90.0,227.40959999999998,221.88670389904772,50,29347,4,12,0,0,21,22,0,7
1602016,1500.0,116.0,176.5797142857143,194.00062783382216,70,30387,6,4,21,0,36,13,0,0
1602017,1500.0,200.0,613.3333333333334,768.4616667949895,3,25705,2,12,0,0,3,0,0,0
1602018,960.0,675.0,581.3,369.1193874916654,10,38387,4,3,0,0,10,0,0,0
1602019,1525.0,300.0,404.2804761904762,331.84532038202224,63,25407,3,1,12,0,47,0,0,4
1602020,300.0,300.0,300.0,,1,39189,4,12,0,0,1,0,0,0
1602021,1000.0,1000.0,1000.0,,1,56687,2,7,0,0,1,0,0,0
1602022,1500.0,200.0,250.31248062015504,296.97857266463427,129,36878,2,12,0,0,129,0,0,0
1602023,8500.0,1000.0,2500.0,3410.2785809959864,5,31396,2,8,0,0,5,0,0,0
1602024,1000.0,500.0,666.6666666666666,288.67513459481285,3,78201,5,10,0,0,3,0,0,0
1602025,400.0,400.0,400.0,,1,47662,5,9,0,0,1,0,0,0
1602026,300.0,120.0,141.8709677419355,86.36656063372516,31,30037,4,7,12,0,19,0,0,0
1602027,2000.0,500.0,672.3846153846154,537.5458954764604,13,33954,4,12,0,0,13,0,0,0
1602028,3380.0,320.0,535.635138888889,646.758225414123,72,27848,2,1,0,0,56,0,0,16
1602029,700.0,400.0,440.7692307692308,165.90466833202424,13,22949,2,10,13,0,0,0,0,0
1602030,40.0,40.0,40.0,,1,73105,2,6,0,0,0,0,0,1
1602031,38.1,38.1,38.1,,1,22966,5,6,1,0,0,0,0,0
1602032,2000.0,1000.0,1123.076923076923,604.3644680624518,13,25222,3,5,0,0,13,0,0,0
1602033,3500.01,1300.005,1448.5811904761906,744.7787895063528,42,30051,6,12,13,0,29,0,0,0
1602034,715.0,200.0,251.8366666666667,184.6111941669971,18,28871,2,8,0,0,8,6,0,4
1602035,2000.0,200.0,382.015625,413.86223810941783,64,26362,3,12,12,0,41,5,0,6
1602036,1200.0,100.0,169.5483870967742,265.0348201915712,31,30286,2,7,9,0,0,22,0,0
1602037,1100.0,530.0,585.75,423.7439281767547,4,36235,5,12,1,0,2,0,0,1
1602038,60.0,60.0,60.0,,1,52793,3,11,0,0,0,0,0,1
1602039,600.0,365.0,365.0,332.34018715767735,2,53559,3,11,0,0,2,0,0,0
1602040,10000.0,10000.0,10000.0,,1,43272,6,12,0,0,1,0,0,0
1602041,827.0,100.0,163.11055555555555,183.639827518736,36,25494,6,1,20,0,4,2,0,10
1602042,2000.0,1390.0,1390.0,862.670273047588,2,34475,5,11,0,0,1,0,0,1
1602043,3000.0,250.0,480.75324675324674,588.4794669727486,77,29106,2,3,12,0,51,0,0,14
1602044,1000.0,200.0,274.32307692307694,253.08052583852526,39,28721,2,5,0,0,37,0,0,2
1602045,500.0,300.0,313.57142857142856,151.9633414441034,21,28647,5,5,11,0,10,0,0,0
1602046,420.0,95.0,155.75,182.60773076004565,4,33183,4,12,0,0,1,0,0,3
1602047,10000.0,1250.0,3113.7774999999997,3478.780588655346,44,21389,2,1,0,0,44,0,0,0
1602048,1033.0,71.5,154.57521739130434,230.2273651665707,23,26030,2,10,0,0,17,6,0,0
1602049,600.0,200.0,215.29237288135593,174.25709924032267,59,28420,3,12,0,0,16,0,0,43
1602050,110.0,110.0,110.0,,1,60277,4,10,1,0,0,0,0,0
1602051,596.0,40.0,108.94285714285714,131.8144736445314,35,47095,3,6,8,0,27,0,0,0
1602052,864.02,105.0,144.3596551724138,152.4894583354806,29,33615,2,7,0,0,24,0,0,5
1602053,4000.0,280.565,414.08958333333334,623.9010515791146,48,30636,2,6,8,0,28,0,0,12
1602054,882.25,511.25,460.86428571428576,217.5788270352287,56,29322,4,1,0,0,40,0,0,16
1602055,1400.0,272.87,360.58,340.0691484769433,49,21991,2,4,7,0,42,0,0,0
1602056,210.0,142.5,142.5,95.45941546018392,2,65930,2,1,0,0,2,0,0,0
1602057,300.0,300.0,221.8421052631579,99.9056572516151,19,26204,3,1,0,0,19,0,0,0
1602058,2000.0,2000.0,2000.0,,1,83928,1,8,0,0,1,0,0,0
1602059,356.22,343.86,254.09333333333336,166.29937141592973,3,46823,2,10,0,0,3,0,0,0
1602060,140.0,55.0,64.77285714285713,28.056084059384567,14,30089,4,1,14,0,0,0,0,0
1602061,653.0,66.96,161.0903448275862,204.33155789903887,29,23614,3,5,12,0,17,0,0,0
1602062,1000.0,100.0,151.875,239.19918478121954,16,29553,5,9,0,0,16,0,0,0
